Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
20/12/2006;20:51:00;3.646;0.170;237.200;15.400;0.000;0.000;17.000
20/12/2006;20:52:00;3.652;0.168;236.940;15.400;0.000;0.000;17.000
20/12/2006;20:53:00;3.610;0.166;235.990;15.200;0.000;0.000;17.000
20/12/2006;20:54:00;3.592;0.166;235.660;15.200;0.000;0.000;17.000
20/12/2006;20:55:00;3.602;0.176;235.130;15.200;0.000;0.000;17.000
20/12/2006;20:56:00;3.638;0.182;236.460;15.400;0.000;0.000;17.000
20/12/2006;20:57:00;3.662;0.184;237.420;15.400;0.000;0.000;18.000
20/12/2006;20:58:00;3.602;0.106;236.850;15.200;0.000;0.000;17.000
20/12/2006;20:59:00;3.594;0.082;237.010;15.000;0.000;0.000;17.000
20/12/2006;21:00:00;3.614;0.078;237.020;15.200;0.000;0.000;17.000
